OutdoorTemperature,Humidity,Direction,AC_Energy_kWh,AC_Time_hours,AC_Fan_Energy_kWh,AC_Fan_Time_hours,PredictedTemperature
25,25,south,-0.9505507308881836,-0.8147577693327289,-0.843047969656782,-0.6789648077772741,25.535257
25,25,east,-0.9729037103756838,-0.8339174660363005,-0.8628729336070052,-0.694931221696917,25.653666
25,25,west,-0.9617279407665822,-0.8243382349427847,-0.8529610903227426,-0.6869485291189873,25.594465
25,26,north,-0.9883469979114259,-0.847154569638365,-0.8765696588619194,-0.7059621413653042,25.735472
25,26,south,-0.9436395986671292,-0.8088339417146821,-0.836918453579775,-0.674028284762235,25.498648
25,26,east,-0.9659932982892775,-0.8279942556765236,-0.8567440562208473,-0.6899952130637697,25.61706
25,26,west,-0.9548168085455275,-0.8184144073247379,-0.8468315742457357,-0.6820120061039482,25.557856
25,27,north,-0.9814362257576955,-0.8412310506494532,-0.8704404621303372,-0.7010258755412112,25.698864
25,27,south,-0.9367284664460743,-0.8029101140966352,-0.8307889375027684,-0.669091761747196,25.462038
25,27,east,-0.9590828862028712,-0.8220710453167468,-0.8506151788346895,-0.6850592044306224,25.580454
25,27,west,-0.9479060363917969,-0.812490888335826,-0.8407023775141534,-0.6770757402798552,25.521248
25,28,north,-0.9745250935366409,-0.8353072230314064,-0.8643109460533304,-0.6960893525261721,25.662254
25,28,south,-0.9302620173704299,-0.7973674434603685,-0.8250538130249647,-0.6644728695503072,25.427784
25,28,east,-0.9521724741164649,-0.81614783495697,-0.8444863014485315,-0.680123195797475,25.543848
25,28,west,-0.9409956243053909,-0.8065676779760492,-0.8345735001279955,-0.6721397316467078,25.484642
25,29,north,-0.9676143213829104,-0.8293837040424946,-0.8581817493217481,-0.691153086702079,25.625647
25,29,south,-0.9244303669873829,-0.7923688859891854,-0.8198816945304765,-0.6603074049909878,25.396893
25,29,east,-0.9457125062526565,-0.8106107196451341,-0.8387569251883679,-0.6755089330376117,25.509628
25,29,west,-0.9350714366200196,-0.8014898028171596,-0.8293193098594223,-0.6679081690142998,25.45326
25,30,north,-0.9611633552022072,-0.8238543044590347,-0.8524603566971958,-0.6865452537158624,25.591475
25,30,south,-0.9185987166043361,-0.7873703285180024,-0.8147095760359886,-0.6561419404316686,25.366001
25,30,east,-0.9398812159369337,-0.8056124708030861,-0.8335851260393046,-0.6713437256692386,25.478739
25,30,west,-0.9292397862369728,-0.7964912453459767,-0.8241471913649342,-0.6637427044549806,25.422369
25,31,north,-0.9553317048191602,-0.8188557469878516,-0.8472882382027077,-0.6823797891565431,25.560583
25,31,south,-0.912766706153965,-0.7823714624176843,-0.8095371381960761,-0.6519762186814037,25.335108
25,31,east,-0.9340499256212111,-0.8006142219610382,-0.8284133268902408,-0.6671785183008652,25.44785
25,31,west,-0.923408135853926,-0.7914926878747937,-0.8189750728704462,-0.6595772398956614,25.391478
25,32,north,-0.9495000544361134,-0.8138571895166686,-0.8421161197082198,-0.678214324597224,25.529692
25,32,south,-0.9071781012147656,-0.7775812296126563,-0.8045805778630959,-0.647984358010547,25.305504
25,32,east,-0.9282175551035158,-0.7956150472315849,-0.8232405697049039,-0.6630125393596541,25.416954
25,32,west,-0.9175761254035549,-0.7864938217744756,-0.8138026350305338,-0.6554115181453964,25.360584
25,33,north,-0.9436684040530666,-0.8088586320454857,-0.8369440012137317,-0.6740488600379048,25.4988
25,33,south,-0.9018433437391408,-0.7730085803478349,-0.799849156054357,-0.6441738169565292,25.277245
25,33,east,-0.9223855446531447,-0.790616181131267,-0.8180681318649914,-0.658846817609389,25.38606
25,33,west,-0.9119486331933399,-0.7816702570228627,-0.8088115853917123,-0.6513918808523858,25.330774
25,34,north,-0.9378360335353713,-0.8038594573160325,-0.8317712440283949,-0.6698828810966938,25.467905
25,34,south,-0.8965100265328125,-0.7684371655995536,-0.795119011627316,-0.6403643046662948,25.248993
25,34,east,-0.91671880510459,-0.7857589758039343,-0.8130422735749043,-0.6547991465032786,25.356043
25,34,west,-0.9066145958523634,-0.7770982250163115,-0.8040808022738224,-0.6475818541802596,25.302519
25,35,north,-0.9320040230850002,-0.7988605912157144,-0.8265988061884824,-0.6657171593464287,25.437012
25,35,south,-0.8911763492591604,-0.7638654422221375,-0.7903885478548504,-0.6365545351851144,25.22074
25,35,east,-0.9113847677636134,-0.781186943797383,-0.8083114904570144,-0.6509891198311525,25.327787
25,35,west,-0.9012805585113868,-0.7725261930097601,-0.7993500191559324,-0.6437718275081334,25.274263
25,36,north,-0.926260589196387,-0.7939376478826174,-0.8215049273229862,-0.6616147065688479,25.406588
25,36,south,-0.8858423119181836,-0.759293410215586,-0.7856577647369606,-0.6327445085129885,25.192484
25,36,east,-0.9060510904899611,-0.7766152204199667,-0.8035810266845489,-0.6471793503499723,25.299534
25,36,west,-0.8959468812377346,-0.7679544696323439,-0.7946195553834671,-0.6399620580269534,25.24601
25,37,north,-0.9209265518554103,-0.7893656158760659,-0.8167741442050961,-0.6578046798967216,25.378332
25,37,south,-0.8805079145098831,-0.7547210695798998,-0.7809266622736462,-0.6289342246499164,25.164227
25,37,east,-0.9007170531489845,-0.7720431884134153,-0.7988502435666589,-0.6433693236778462,25.271278
25,37,west,-0.8906128438967579,-0.7633824376257925,-0.7898887722655772,-0.6361520313548272,25.217754
25,38,north,-0.9155925145144339,-0.7847935838695148,-0.8120433610872061,-0.6539946532245955,25.350077
25,38,south,-0.8751742372362306,-0.7501493462024833,-0.7761961985011808,-0.6251244551687362,25.135973
